classe,chemin,split
metal,..\data\cleaned\metal\metal20.jpg,train
glass,..\data\cleaned\glass\glass94.jpg,train
paper,..\data\cleaned\paper\paper72.jpg,train
glass,..\data\cleaned\glass\glass110.jpg,train
plastic,..\data\cleaned\plastic\plastic16.jpg,train
metal,..\data\cleaned\metal\metal54.jpg,train
plastic,..\data\cleaned\plastic\plastic156.jpg,train
metal,..\data\cleaned\metal\metal73.jpg,train
paper,..\data\cleaned\paper\paper143.jpg,train
paper,..\data\cleaned\paper\paper126.jpg,train
paper,..\data\cleaned\paper\paper182.jpg,train
metal,..\data\cleaned\metal\metal13z.jpg,train
cardboard,..\data\cleaned\cardboard\cardboard107.jpg,train
paper,..\data\cleaned\paper\paper122.jpg,train
cardboard,..\data\cleaned\cardboard\cardboard21.jpg,train
glass,..\data\cleaned\glass\glass179.jpg,train
plastic,..\data\cleaned\plastic\plastic55.jpg,train
paper,..\data\cleaned\paper\paper52.jpg,train
paper,..\data\cleaned\paper\paper229.jpg,train
glass,..\data\cleaned\glass\glass113.jpg,train
glass,..\data\cleaned\glass\glass140.jpg,train
plastic,..\data\cleaned\plastic\plastic44.jpg,train
plastic,..\data\cleaned\plastic\plastic200.jpg,train
cardboard,..\data\cleaned\cardboard\cardboard58.jpg,train
trash,..\data\cleaned\trash\trash29.jpg,train
plastic,..\data\cleaned\plastic\plastic181.jpg,train
paper,..\data\cleaned\paper\paper55.jpg,train
glass,..\data\cleaned\glass\glass108.jpg,train
cardboard,..\data\cleaned\cardboard\cardboard122.jpg,train
paper,..\data\cleaned\paper\paper225.jpg,train
paper,..\data\cleaned\paper\paper147.jpg,train
cardboard,..\data\cleaned\cardboard\cardboard1.jpg,train
metal,..\data\cleaned\metal\metal89.jpg,train
metal,..\data\cleaned\metal\metal35.jpg,train
paper,..\data\cleaned\paper\paper107.jpg,train
paper,..\data\cleaned\paper\paper228.jpg,train
cardboard,..\data\cleaned\cardboard\cardboard53.jpg,train
metal,..\data\cleaned\metal\metal6.jpg,train
paper,..\data\cleaned\paper\paper208.jpg,train
plastic,..\data\cleaned\plastic\plastic25.jpg,train
plastic,..\data\cleaned\plastic\plastic84.jpg,train
plastic,..\data\cleaned\plastic\plastic122.jpg,train
paper,..\data\cleaned\paper\paper47.jpg,train
plastic,..\data\cleaned\plastic\plastic107.jpg,train
metal,..\data\cleaned\metal\metal133.jpg,train
paper,..\data\cleaned\paper\paper238.jpg,train
plastic,..\data\cleaned\plastic\plastic180.jpg,train
paper,..\data\cleaned\paper\paper109.jpg,train
plastic,..\data\cleaned\plastic\plastic203.jpg,train
glass,..\data\cleaned\glass\glass115.jpg,train
paper,..\data\cleaned\paper\paper43.jpg,train
glass,..\data\cleaned\glass\glass44.jpg,train
plastic,..\data\cleaned\plastic\plastic138.jpg,train
plastic,..\data\cleaned\plastic\plastic185.jpg,train
cardboard,..\data\cleaned\cardboard\cardboard16.jpg,train
plastic,..\data\cleaned\plastic\plastic17.jpg,train
plastic,..\data\cleaned\plastic\plastic79.jpg,train
glass,..\data\cleaned\glass\glass150.jpg,train
paper,..\data\cleaned\paper\paper95.jpg,train
cardboard,..\data\cleaned\cardboard\cardboard115.jpg,train
plastic,..\data\cleaned\plastic\plastic96.jpg,train
glass,..\data\cleaned\glass\glass96.jpg,train
plastic,..\data\cleaned\plastic\plastic95.jpg,train
metal,..\data\cleaned\metal\metal130.jpg,train
cardboard,..\data\cleaned\cardboard\cardboard62.jpg,train
paper,..\data\cleaned\paper\paper114.jpg,train
plastic,..\data\cleaned\plastic\plastic72.jpg,train
paper,..\data\cleaned\paper\paper128.jpg,train
cardboard,..\data\cleaned\cardboard\cardboard100.jpg,train
paper,..\data\cleaned\paper\paper94.jpg,train
plastic,..\data\cleaned\plastic\plastic78.jpg,train
metal,..\data\cleaned\metal\metal103.jpg,train
metal,..\data\cleaned\metal\metal131.jpg,train
plastic,..\data\cleaned\plastic\plastic157.jpg,train
glass,..\data\cleaned\glass\glass48.jpg,train
cardboard,..\data\cleaned\cardboard\cardboard160.jpg,train
cardboard,..\data\cleaned\cardboard\cardboard25g.jpg,train
paper,..\data\cleaned\paper\paper211.jpg,train
glass,..\data\cleaned\glass\glass99.jpg,train
paper,..\data\cleaned\paper\paper23.jpg,train
paper,..\data\cleaned\paper\paper25.jpg,train
glass,..\data\cleaned\glass\glass104.jpg,train
glass,..\data\cleaned\glass\glass139.jpg,train
cardboard,..\data\cleaned\cardboard\cardboard97.jpg,train
cardboard,..\data\cleaned\cardboard\cardboard47.jpg,train
plastic,..\data\cleaned\plastic\plastic24.jpg,train
paper,..\data\cleaned\paper\paper89.jpg,train
trash,..\data\cleaned\trash\trash17.jpg,train
plastic,..\data\cleaned\plastic\plastic8.jpg,train
cardboard,..\data\cleaned\cardboard\cardboard79.jpg,train
paper,..\data\cleaned\paper\paper30.jpg,train
plastic,..\data\cleaned\plastic\plastic83.jpg,train
glass,..\data\cleaned\glass\glass154.jpg,train
plastic,..\data\cleaned\plastic\plastic38.jpg,train
paper,..\data\cleaned\paper\paper149.jpg,train
metal,..\data\cleaned\metal\metal140.jpg,train
plastic,..\data\cleaned\plastic\plastic205.jpg,train
metal,..\data\cleaned\metal\metal70er.jpg,train
metal,..\data\cleaned\metal\metal29.jpg,train
paper,..\data\cleaned\paper\paper220.jpg,train
paper,..\data\cleaned\paper\paper181.jpg,train
metal,..\data\cleaned\metal\metal18.jpg,train
paper,..\data\cleaned\paper\paper159.jpg,train
trash,..\data\cleaned\trash\trash24.jpg,train
